,Dialogue Index,Utterance Index,Speaker Index,Utterance,Emotions,Sentiments,Dialogue Acts
17,1,5,2,What day would you like your booking for ? For how many people ?,-1,-1,dict_keys(['Booking-Request'])
18,1,6,1,The hotel should include free parking.,0,0,dict_keys([])
19,1,7,2,What day will you be staying ?,-1,-1,dict_keys(['Booking-Request'])
20,1,8,1,The hotel should have a star of 3. The hotel should be in the moderate price range. The hotel should include free wifi.,0,0,dict_keys([])
21,1,9,2,"Shall I try to start and book you into one ? Internet is available . Okay , how about hobsons house ? It offers free parking . It is moderate . They have a 3 Star rating. It is a guesthouse .",-1,-1,"dict_keys(['Booking-Inform', 'Hotel-Inform'])"
22,1,10,1,Once you find the hotel you want to book it for 5 people on wednesday for 2 nights.,0,0,dict_keys([])
23,1,11,2,What day will you be arriving ?,-1,-1,dict_keys(['Booking-Request'])
24,1,12,1,Once you find the hotel you want to book it for 5 people on wednesday for 2 nights.,0,0,dict_keys([])
25,1,13,2,I am unable to book this for you . Do you have any other preferences ? What day would you like that reservation ? How many nights are you wanting to stay ?,-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
26,2,0,1,I am excited about seeing local tourist attractions. The attraction should be in the type of college ,5,2,dict_keys([])
27,2,1,2,What attraction are you thinking about ?,-1,-1,dict_keys(['Attraction-Request'])
28,2,2,1,college,0,0,dict_keys([])
29,2,3,2,You would love christ's college.,-1,-1,dict_keys(['Attraction-Recommend'])
30,2,4,1,the attraction should be in the centre,0,0,dict_keys([])
31,2,5,2,Their address in our system is listed as saint andrew's street . We have christ's college . I ' m happy to have been able to help you today .,-1,-1,"dict_keys(['general-greet', 'Attraction-Inform'])"
32,2,6,1,postcode,0,0,dict_keys([])
33,2,7,2,Their postcode is cb23bu .,-1,-1,dict_keys(['Attraction-Inform'])
34,2,8,1,I am also looking for a place to say,0,0,dict_keys([])
35,2,9,2,What sort of attraction would you like it to be ?,-1,-1,dict_keys(['Attraction-Request'])
36,2,10,1,I am also looking for a place to stay,2,1,dict_keys([])
37,2,11,2,"I recommend christ's college , it 's got a lot of great features to watch !. You have any particular attraction in mind ?",-1,-1,"dict_keys(['Attraction-Request', 'Attraction-Recommend'])"
38,2,12,1,collge,2,1,dict_keys([])
39,2,13,2,"There are 13 , anything in particular you are looking for ? Here is the phone number , 01223334900 . You are welcome . Is there anything else I can help you with today ?",-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
40,2,14,1,I am also looking for a place to stay in the north,2,1,dict_keys([])
41,2,15,2,What day will you be staying ?,-1,-1,dict_keys(['Booking-Request'])
42,2,16,1,on tuesday for 4 nights,0,0,dict_keys([])
43,2,17,2,What day would you like the booking to be made for ?,-1,-1,dict_keys(['Booking-Request'])
44,2,18,1,on tuesday,0,0,dict_keys([])
45,2,19,2,Booking was unsuccessful do you have any other preference ? What day would you like that reservation ?,-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
46,2,20,1,for 7 people,0,0,dict_keys([])
47,2,21,2,"I ' m sorry , I was unable to reserve rooms . Would you like to try anything else ? What day would you like that reservation ?",-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
48,2,22,1,ok,2,1,dict_keys([])
49,2,23,2,I have booked you acorn guest house. The price range is moderate . The hotel is 4 stars . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Booking-Book', 'Hotel-Inform'])"
50,2,24,1,I also want to book taxy form college,0,0,dict_keys([])
51,2,25,2,,-1,-1,dict_keys([])
52,2,26,1,I want to book taxi for college,2,1,dict_keys([])
53,2,27,2,Would you like to tell me the name of that hotel ?,-1,-1,dict_keys(['Hotel-Request'])
54,2,28,1,"No, from college",2,1,dict_keys([])
55,2,29,2,Would you like to book the 1 ?,-1,-1,dict_keys(['Booking-Inform'])
56,2,30,1,yes,0,0,dict_keys([])
57,2,31,2,What attraction are you thinking about ?,-1,-1,dict_keys(['Attraction-Request'])
58,2,32,1,college,2,1,dict_keys([])
59,2,33,2,How about christ's college ? they 're pretty fun . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Recommend'])"
60,2,34,1,car type,2,1,dict_keys([])
61,2,35,2,Would you be interested in visiting a college ? Is there anything else I can help you with ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
62,3,0,1,Looking for local tourist ,0,0,dict_keys([])
63,3,1,2,The phone is 01223358966 .,-1,-1,dict_keys(['Police-Inform'])
64,3,2,1,Local tourist type that i want is architecture,2,1,dict_keys([])
65,3,3,2,,-1,-1,dict_keys([])
66,3,4,1,Local tourist Address ,2,1,dict_keys([])
67,3,5,2,It is on jesus lane . Did you need any further assistance today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
68,3,6,1,"Yes, The phone number",2,1,dict_keys([])
69,3,7,2,"Here is the phone number , 01223452587 . Is there anything else I can help you with ?",-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
70,3,8,1,Yes. Looking for local restaurant ,0,0,dict_keys([])
71,3,9,2,I ' m happy to have been able to help you today . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-greet', 'general-reqmore'])"
72,3,10,1,Yes. I want to try restaurant serving British food,0,0,dict_keys([])
73,3,11,2,What type of food would you like ?,-1,-1,dict_keys(['Restaurant-Request'])
74,3,12,1,like Chicken ,0,0,dict_keys([])
75,3,13,2,I am sorry but there are no restaurants that fit that criteria in the none . There no none restaurants that I can find right now . Would something else work ? You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Restaurant-NoOffer'])"
76,3,14,1,"Okay, I want nearby restaurant ",2,1,dict_keys([])
77,3,15,2,Do you have a specific area in mind ?,-1,-1,dict_keys(['Restaurant-Request'])
78,3,16,1,In the west Area ,0,0,dict_keys([])
79,3,17,2,,-1,-1,dict_keys([])
80,3,18,1,I want to book as well ,2,1,dict_keys([])
81,3,19,2,Is there anything else I can help you with today ?,-1,-1,dict_keys(['general-reqmore'])
82,3,20,1,Yes. the address of local restaurant,2,1,dict_keys([])
83,3,21,2,Their address is none . There 's a place called none. Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Restaurant-Inform'])"
84,3,22,1,Yes. is there no where i can get it?,2,1,dict_keys([])
85,3,23,2,There are no none restaurants unfortunately .,-1,-1,dict_keys(['Restaurant-NoOffer'])
86,4,0,1,hi.i am looking for a expensive local restaurant that serves gastropub food,0,0,dict_keys([])
87,4,1,2,Would you like to try backstreet bistro ?,-1,-1,dict_keys(['Restaurant-Inform'])
88,4,2,1,i am exited about seeing local tourist attractions in the centre,5,2,dict_keys([])
89,4,3,2,,-1,-1,dict_keys([])
90,4,4,1,i am exited about seeing local tourist attractions,5,2,dict_keys([])
91,4,5,2,The address is 2 Sturton Street City Centre . Their number is 01223306306 .,-1,-1,dict_keys(['Restaurant-Inform'])
92,4,6,1,please give me entrance fee and postcode too,0,0,dict_keys([])
93,4,7,2,The park is ? . The postcode is cb58as . Would you be interested in visiting a theatre ? You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
94,4,8,1,please give me entrance fee of the restaurant,0,0,dict_keys([])
95,4,9,2,,-1,-1,dict_keys([])
96,4,10,1,how much is the restaurant's entrance fee?,0,0,dict_keys([])
97,4,11,2,You are welcome . Is there anything else I can help you with today ?,-1,-1,dict_keys(['general-reqmore'])
98,4,12,1,how much is backstreet bistro's entrance fee?,0,0,dict_keys([])
99,4,13,2,Would you like for me to try and make a reservation ? It is gastropub food . How about backstreet bistro ? Did you need any further assistance today ?,-1,-1,"dict_keys(['Booking-Inform', 'general-reqmore', 'Restaurant-Inform'])"
100,4,14,1,i want a taxi to commute from the attraction to the restaurant after 19:30,0,0,dict_keys([])
101,4,15,2,Is there anything else I can help you with ?,-1,-1,dict_keys(['general-reqmore'])
102,4,16,1,i want a taxi to commute from the attraction to the restaurant after 19:30,0,0,dict_keys([])
103,4,17,2,What is your destination please.,-1,-1,dict_keys(['Taxi-Request'])
104,4,18,1,please give me car type and phone number,0,0,dict_keys([])
105,4,19,2,I need to know where you are traveling to. Did you need any further assistance today ?,-1,-1,"dict_keys(['Taxi-Request', 'general-reqmore'])"
106,4,20,1,from 2 Sturton Street City Centre to backstreet bistro,0,0,dict_keys([])
107,4,21,2,It 's located at park street . It will be located in the centre . Their entrance fee is ? by our system currently . Thank you for contacting the help desk . Have a great day . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-greet', 'general-reqmore', 'Attraction-Recommend'])"
108,4,22,1,please give me car type and phone number,0,0,dict_keys([])
109,4,23,2,Thank you for contacting the help desk . Have a great day .,-1,-1,dict_keys(['general-greet'])
110,4,24,1,i want a taxi from 2 Sturton Street City Centre to backstreet bistro,0,0,dict_keys([])
111,4,25,2,It is in the centre . You would love adc theatre.,-1,-1,dict_keys(['Attraction-Recommend'])
112,5,0,1,I need to find a restaurant in the west,0,0,dict_keys([])
113,5,1,2,The phone is 01223358966 . Do you prefer indian food ?,-1,-1,"dict_keys(['Police-Inform', 'Restaurant-Select'])"
114,5,2,1,is it expensive,0,0,dict_keys([])
115,5,3,2,"The address is Parkside, Cambridge .",-1,-1,dict_keys(['Police-Inform'])
116,5,4,1,is it expensive,2,1,dict_keys([])
117,5,5,2,The phone is 01223358966 .,-1,-1,dict_keys(['Police-Inform'])
118,5,6,1,what is it called,2,1,dict_keys([])
119,5,7,2,The postcode is none .,-1,-1,dict_keys(['Police-Inform'])
120,5,8,1,What type of restaurant is it,2,1,dict_keys([])
121,5,9,2,Is there anything else I can help you with ?,-1,-1,dict_keys(['general-reqmore'])
122,5,10,1,I need a restaurant in the west,2,1,dict_keys([])
123,5,11,2,Did you need any further assistance today ?,-1,-1,dict_keys(['general-reqmore'])
124,5,12,1,yes i need a train leaving monday from cambridge,0,0,dict_keys([])
125,5,13,2,There are 404 . The train is for monday you are all set. Where are you headed ?,-1,-1,"dict_keys(['Train-Request', 'Train-Inform'])"
126,5,14,1,ely,0,0,dict_keys([])
127,5,15,2,There is a train that leaves at 05:00 .,-1,-1,dict_keys(['Train-Inform'])
128,5,16,1,i need it to arrive by 8:30,0,0,dict_keys([])
129,5,17,2,Will an arrival time of 05:51 work for you ? TR7075 looks like it would work for you. We can book you for the train leaving at 05:00 .,-1,-1,dict_keys(['Train-OfferBook'])
130,5,18,1,yes what is the travel time,0,0,dict_keys([])
131,5,19,2,The trip will last 51 minutes.,-1,-1,dict_keys(['Train-Inform'])
132,5,20,1,Now I need a restuarant in the west that is expensive,0,0,dict_keys([])
133,5,21,2,What area should the restaurant be in ?,-1,-1,dict_keys(['Restaurant-Request'])
134,5,22,1,the west,2,1,dict_keys([])
135,5,23,2,I will book it for you and get a reference number ? I would suggest tandoori palace .,-1,-1,"dict_keys(['Booking-Inform', 'Restaurant-Recommend'])"
136,5,24,1,give me information about tandoori palace,0,0,dict_keys([])
137,5,25,2,What day will you be arriving ? For how many people ?,-1,-1,dict_keys(['Booking-Request'])
138,5,26,1,3,0,0,dict_keys([])
139,5,27,2,"I ' m sorry , I was unable to reserve rooms . Would you like to try anything else ? What time would you like me to make your reservation ?",-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
140,5,28,1,is tandoori palace expensive,0,0,dict_keys([])
141,5,29,2,"Okay , how about tandoori palace ? This is a expensive one . No , I ' m sorry . The search did n't pull up any matches .",-1,-1,"dict_keys(['Restaurant-NoOffer', 'Restaurant-Inform'])"
142,5,30,1,thank you,6,2,dict_keys([])
143,5,31,2,Did you need any further assistance today ?,-1,-1,dict_keys(['general-reqmore'])
144,5,32,1,no,2,1,dict_keys([])
145,5,33,2,TR7075 would be your perfect fit . Would you like me to book this train for you ?,-1,-1,"dict_keys(['Train-OfferBook', 'Train-Inform'])"
146,6,0,1,I would like to try a restaurant with a moderate price range,0,0,dict_keys([])
147,6,1,2,I would suggest pizza hut city centre . Their phone number is 01223323737 .,-1,-1,dict_keys(['Restaurant-Recommend'])
148,6,2,1,address,0,0,dict_keys([])
149,6,3,2,The address is Regent Street City Centre . How about pizza hut city centre ? Did you need any further assistance today ?,-1,-1,"dict_keys(['general-reqmore', 'Restaurant-Inform'])"
150,6,4,1,local area in Cambridgeshire,0,0,dict_keys([])
151,6,5,2,It is located in the centre . There is a restaurant called pizza hut city centre that meets your criteria . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Restaurant-Inform'])"
152,6,6,1,You are looking for a place to stay. The hotel should be in the moderate price range.,0,0,dict_keys([])
153,6,7,2,It has 4 stars .,-1,-1,dict_keys(['Hotel-Inform'])
154,6,8,1,The hotel should include free parking,0,0,dict_keys([])
155,6,9,2,You can try ashley hotel. It does include free parking . It is a hotel .,-1,-1,dict_keys(['Hotel-Inform'])
156,6,10,1, make sure you get address,0,0,dict_keys([])
157,6,11,2,I will go ahead and book that now . What about ashley hotel ?,-1,-1,"dict_keys(['Booking-Inform', 'Hotel-Inform'])"
158,6,12,1,what address,2,1,dict_keys([])
159,6,13,2,It is located at 74 chesterton road. They have a 2 Star rating.,-1,-1,dict_keys(['Hotel-Inform'])
160,6,14,1,reservation for 4 people,0,0,dict_keys([])
161,6,15,2,What day would you like to book ?,-1,-1,dict_keys(['Booking-Request'])
162,6,16,1,Wednesday for 2 nights,0,0,dict_keys([])
163,6,17,2,Unfortunately the booking was not successful . What day will you be arriving ?,-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
164,6,18,1,Wednesday ,2,1,dict_keys([])
165,6,19,2,Ok and for how many days ?,-1,-1,dict_keys(['Booking-Request'])
166,6,20,1,2 nights,2,1,dict_keys([])
167,6,21,2,What day would you like your booking for ?,-1,-1,dict_keys(['Booking-Request'])
168,6,22,1,22,2,1,dict_keys([])
169,6,23,2,What day would you like to book ?,-1,-1,dict_keys(['Booking-Request'])
170,6,24,1,Wednesday,2,1,dict_keys([])
171,6,25,2,I would suggest pizza hut city centre . What is the price range you are looking for ?,-1,-1,"dict_keys(['Restaurant-Request', 'Restaurant-Recommend'])"
172,7,0,1,i'm looking for local tourist attraction. it should be in centre,0,0,dict_keys([])
173,7,1,2,What type of attraction are you looking for ?,-1,-1,dict_keys(['Attraction-Request'])
174,7,2,1,in type of bpating,0,0,dict_keys([])
175,7,3,2,You might want to try the adc theatre . Can I make a reservation for you ?,-1,-1,"dict_keys(['Booking-Inform', 'Attraction-Inform'])"
176,7,4,1,boating type,0,0,dict_keys([])
177,7,5,2,You would love scudamores punting co. Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Recommend'])"
178,7,6,1,address and phone number,0,0,dict_keys([])
179,7,7,2,"It is located in granta place, mill lane. Here is the phone number , 01223359750 . The postcode is cb21rs . Is there anything else I can help you with ?",-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
180,7,8,1,looking for local restaurant,0,0,dict_keys([])
181,7,9,2,,-1,-1,dict_keys([])
182,7,10,1,suggest me a turkish restaurant,0,0,dict_keys([])
183,7,11,2,Shall I try to start and book you into one ? There is a restaurant called meze bar that meets your criteria .,-1,-1,"dict_keys(['Booking-Inform', 'Restaurant-Inform'])"
184,7,12,1,address of that hotel,0,0,dict_keys([])
185,7,13,2,"They are located at granta place, mill lane . Is there anything else I can help you with ?",-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
186,7,14,1,also want a taxi ,0,0,dict_keys([])
187,7,15,2,"I think a fun place to visit is scudamores punting co . Here is the phone number , 01223359750 .",-1,-1,dict_keys(['Attraction-Inform'])
188,7,16,1,want a taxi,2,1,dict_keys([])
189,7,17,2,"How about scudamores punting co ? Here is the phone number , 01223359750 . The postcode is cb21rs .",-1,-1,dict_keys(['Attraction-Inform'])
190,7,18,1,suggest me a taxi,2,1,dict_keys([])
191,7,19,2,"It is in the centre . We have 2 options , can i reccomend for you ? You might want to try the scudamores punting co .",-1,-1,dict_keys(['Attraction-Inform'])
192,7,20,1,thank you,2,1,dict_keys([])
193,7,21,2,You might want to try the scudamores punting co . The phone number is 01223359750 . Their postcode is cb21rs . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
194,7,22,1,no thank you,2,1,dict_keys([])
195,7,23,2,You are welcome . Is there anything else I can help you with today ?,-1,-1,dict_keys(['general-reqmore'])
196,8,0,1,guest house in the central part,0,0,dict_keys([])
197,8,1,2,It has free wifi . Everyone seems to enjoy the none . They have free parking . This is an none hotel . It is a none-star rating .,-1,-1,dict_keys(['Hotel-Recommend'])
198,8,2,1,I need a four star guesthouse,0,0,dict_keys([])
199,8,3,2,Sorry there are none in the none . I am sorry I have no listings for any with none stars . Sorry there is no none fitting the description you asked for.,-1,-1,dict_keys(['Hotel-NoOffer'])
200,8,4,1,train from cambridge after 9.15 to london kings cross on thursday,0,0,dict_keys([])
201,8,5,2,,-1,-1,dict_keys([])
202,8,6,1,train fro cambridge to kings cross,0,0,dict_keys([])
203,8,7,2,Their ID is TR8272 . There is a train meeting your criteria and is leaving at 05:00 . Ok I will book that for you and get you a confirmation number.,-1,-1,"dict_keys(['Train-OfferBook', 'Train-Inform'])"
204,8,8,1,any train leaving after 9.15,0,0,dict_keys([])
205,8,9,2,"It should arrive by 05:51. The train is for thursday you are all set. It departs from cambridge . The booking is for arriving in london kings cross . Well , I can book it for YOU if you would like . Would you like me to ?",-1,-1,"dict_keys(['Train-OfferBook', 'Train-Inform'])"
206,8,10,1,a later train perhaps,2,1,dict_keys([])
207,8,11,2,The price of those tickets are 23.60 pounds .,-1,-1,dict_keys(['Train-Inform'])
208,9,0,1,i like to find any attractions like entertainment,0,0,dict_keys([])
209,9,1,2,That is in the east . The park is ? . Would you like cherry hinton hall and grounds ?,-1,-1,dict_keys(['Attraction-Recommend'])
210,9,2,1,"ok give the phone number, postal code",0,0,dict_keys([])
211,9,3,2,The phone number is 01223446104 . The postcode is cb18dw . Is there anything else I can help you with ?,-1,-1,"dict_keys(['general-reqmore', 'Attraction-Inform'])"
212,9,4,1,find me a train depart from petersborouh,0,0,dict_keys([])
213,9,5,2,,-1,-1,dict_keys([])
214,9,6,1,find me a train which depart from peterborough,0,0,dict_keys([])
215,9,7,2,There are 2828 . The train stop is london kings cross . What time do you need to arrive ? When would you like to leave by ?,-1,-1,"dict_keys(['Train-Request', 'Train-Inform'])"
216,9,8,1,arrive by 9:00 and like to leave by thursday,0,0,dict_keys([])
217,9,9,2,"It departs from cambridge . TR8272 would be your perfect fit . There is a train that leaves at 05:00 . Well , I can book it for YOU if you would like . Would you like me to ?",-1,-1,"dict_keys(['Train-OfferBook', 'Train-Inform'])"
218,9,10,1,train should departs from petersborough and should go to leicester,0,0,dict_keys([])
219,9,11,2,There are 404 options. I would say you should leave by 05:00. The price is 23.60 pounds per ticket .,-1,-1,dict_keys(['Train-Inform'])
220,9,12,1,"ok , book a ticket",0,0,dict_keys([])
221,9,13,2,The arrival time is 05:51 . Their ID is TR8272 . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Train-Inform'])"
222,9,14,1,no,0,0,dict_keys([])
223,9,15,2,The total fee is 23.60 pounds payable at the station.,-1,-1,dict_keys(['Train-OfferBooked'])
224,9,16,1,thanks,6,2,dict_keys([])
225,9,17,2,You are welcome . Is there anything else I can help you with today ? Okay ! Glad I could help . Enjoy your stay .,-1,-1,"dict_keys(['general-reqmore', 'general-welcome'])"
226,10,0,1,"Hello, do you know of any local restaurants?",0,0,dict_keys([])
227,10,1,2,,-1,-1,dict_keys([])
228,10,2,1,Restaurants?,2,1,dict_keys([])
229,10,3,2,Shall I try to start and book you into one ? Is there anything else I can help you with ?,-1,-1,"dict_keys(['Booking-Inform', 'general-reqmore'])"
230,10,4,1,Are there any restaurants near by?,2,1,dict_keys([])
231,10,5,2,The name is none . Did you need any further assistance today ?,-1,-1,"dict_keys(['general-reqmore', 'Police-Inform'])"
232,10,6,1,I need a restaurant to try ,2,1,dict_keys([])
233,10,7,2,The phone is 01223358966 .,-1,-1,dict_keys(['Police-Inform'])
234,10,8,1,"I am looking forward to trying local restaurants, do you know of any?",2,1,dict_keys([])
235,10,9,2,Thank you for contacting us and have a nice day . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-greet', 'general-reqmore'])"
236,10,10,1,Is there an area for this restaurant?,2,1,dict_keys([])
237,10,11,2,Did you need any further assistance today ?,-1,-1,dict_keys(['general-reqmore'])
238,10,12,1,I need help finding a local restaurant in the expensive price range.,2,1,dict_keys([])
239,10,13,2,I will go ahead and book that now .,-1,-1,dict_keys(['Booking-Inform'])
240,10,14,1,Please do that,2,1,dict_keys([])
241,10,15,2,The name is none .,-1,-1,dict_keys(['Police-Inform'])
242,10,16,1,Whats the name,2,1,dict_keys([])
243,10,17,2,The phone is 01223358966 .,-1,-1,dict_keys(['Police-Inform'])
244,10,18,1,"No, I need a restaurant",2,1,dict_keys([])
245,10,19,2,What type of food would you like to eat ?,-1,-1,dict_keys(['Restaurant-Request'])
246,10,20,1,expensive food,0,0,dict_keys([])
247,10,21,2,It is located in the centre . There are 110 restaurants in that area that fit that criteria . This is a cheap one .,-1,-1,dict_keys(['Restaurant-Inform'])
248,10,22,1,Expensive restaurant,2,1,dict_keys([])
249,10,23,2,I would suggest pizza hut city centre . Is there anything else I can help you with ?,-1,-1,"dict_keys(['general-reqmore', 'Restaurant-Recommend'])"
250,10,24,1,I need a place to stay ,0,0,dict_keys([])
251,10,25,2,,-1,-1,dict_keys([])
252,10,26,1,Do you know a hotel,2,1,dict_keys([])
253,10,27,2,,-1,-1,dict_keys([])
254,10,28,1,Free wifi,0,0,dict_keys([])
255,10,29,2,"Internet is available . Okay , how about alpha-milton guest house ? They have free parking .",-1,-1,dict_keys(['Hotel-Inform'])
256,10,30,1,whats the price range,0,0,dict_keys([])
257,10,31,2,I would suggest pizza hut city centre .,-1,-1,dict_keys(['Restaurant-Recommend'])
258,10,32,1,whats the price range of the hotel with free wifi,2,1,dict_keys([])
259,10,33,2,The wifi is included .,-1,-1,dict_keys(['Hotel-Inform'])
260,10,34,1,how much is it ,2,1,dict_keys([])
261,10,35,2,You are welcome . Is there anything else I can help you with today ?,-1,-1,dict_keys(['general-reqmore'])
262,10,36,1,whats the price range of alpha-milton,2,1,dict_keys([])
263,10,37,2,"Ok , thank you . Have a good day . Is there anything else I can help you with ?",-1,-1,"dict_keys(['general-greet', 'general-reqmore'])"
264,11,0,1,I'm  looking for a place to stay. The hotel should have a star of 3. The hotel should be in the north. The hotel should include free wifi.,0,0,dict_keys([])
265,11,1,2,"I ' m sorry but i ' m unable to make the reservation on none . Would you like to stay in a guesthouse , or in a hotel ?",-1,-1,"dict_keys(['Hotel-Request', 'Booking-NoBook'])"
266,11,2,1,"no , hotel only ",0,0,dict_keys([])
267,11,3,2,Will you be coming in on none ? Is there anything else I can help you with ?,-1,-1,"dict_keys(['general-reqmore', 'Booking-Inform'])"
268,11,4,1,how about one that is in the type of guesthouse.,0,0,dict_keys([])
269,11,5,2,Do you want the reservations to begin on none ? It is a guesthouse .,-1,-1,"dict_keys(['Booking-Inform', 'Hotel-Inform'])"
270,11,6,1,"Okay, can i get phone number ?",0,0,dict_keys([])
271,11,7,2,What day will you be staying ? Their phone number is 01223365664 .,-1,-1,"dict_keys(['Booking-Request', 'Hotel-Inform'])"
272,11,8,1,I  want to book it for 6 people on saturday for 4 nights.,0,0,dict_keys([])
273,11,9,2,I ' m sorry those are not available . What day will you be staying ?,-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
274,11,10,1, I want to book it for 6 people on saturday for 4 nights.,2,1,dict_keys([])
275,11,11,2,"I am unable to book this for you . Do you have any other preferences ? Ok , what day would you like to make the reservation on ?",-1,-1,"dict_keys(['Booking-NoBook', 'Booking-Request'])"
276,11,12,1,saturday ,0,0,dict_keys([])
277,11,13,2,What day would you like that reservation ?,-1,-1,dict_keys(['Booking-Request'])
278,11,14,1,I'm also looking for a train. The train should leave on saturday. The train should go to cambridge. The train should leave after 20:00. The train should depart from birmingham new street.,0,0,dict_keys([])
279,11,15,2,Where will you be leaving from ?,-1,-1,dict_keys(['Train-Request'])
280,11,16,1,birmingham new street ,0,0,dict_keys([])
281,11,17,2,What day would you like that reservation ?,-1,-1,dict_keys(['Booking-Request'])
282,11,18,1,Can i  get price ?,0,0,dict_keys([])
283,11,19,2,It does include free parking . It is a guesthouse .,-1,-1,dict_keys(['Hotel-Inform'])
284,11,20,1,"Okay,  can i get price?",2,1,dict_keys([])
285,11,21,2,"Okay , how about hamilton lodge ? It has 3 stars . It is a guesthouse .",-1,-1,dict_keys(['Hotel-Inform'])
286,11,22,1,"Okay , May i know the price ?",2,1,dict_keys([])
287,11,23,2,It offers free parking . You are welcome . Is there anything else I can help you with today ?,-1,-1,"dict_keys(['general-reqmore', 'Hotel-Inform'])"
288,11,24,1,Can i get price details ?,2,1,dict_keys([])
289,11,25,2,How about hamilton lodge ? It is a moderate place . It is a guesthouse .,-1,-1,dict_keys(['Hotel-Inform'])
290,11,26,1,Okay ,0,0,dict_keys([])
291,11,27,2,What day would you like your booking for ?,-1,-1,dict_keys(['Booking-Request'])
292,11,28,1,sunday ,0,0,dict_keys([])
293,11,29,2,Will you be booking for 6 people ? What day will you be staying ? And for how many days ?,-1,-1,"dict_keys(['Booking-Request', 'Booking-Inform'])"
